Incoming Calls,Outgoing Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Sales Rep
217,351,204,94.01%,13,00:00:17,00:02:14,00:02:45,76.28%,Rep09
200,400,182,91.00%,18,00:00:20,00:02:22,00:06:55,72.73%,Rep02
216,77,198,91.67%,18,00:00:18,00:02:38,00:03:50,74.30%,Rep06
155,315,145,93.55%,10,00:00:15,00:02:29,00:03:12,79.61%,Rep06
37,59,37,100.00%,0,00:00:03,00:02:06,00:00:35,97.30%,Rep06
315,95,304,96.51%,11,00:00:18,00:01:35,00:02:37,77.17%,Rep02
252,91,244,96.83%,8,00:00:13,00:01:50,00:02:02,82.00%,Rep10
213,303,205,96.24%,8,00:00:10,00:02:10,00:03:22,88.10%,Rep07
219,44,200,91.32%,19,00:00:15,00:02:18,00:06:12,79.45%,Rep01
371,373,348,93.80%,23,00:00:19,00:01:40,00:03:29,73.63%,Rep09
166,361,164,98.80%,2,00:00:12,00:02:10,00:02:46,81.33%,Rep10
32,89,32,100.00%,0,00:00:02,00:02:03,00:00:03,100.00%,Rep02
231,270,222,96.10%,9,00:00:08,00:01:49,00:02:18,86.46%,Rep02
205,254,197,96.10%,8,00:00:07,00:01:52,00:02:48,92.61%,Rep01
338,238,313,92.60%,25,00:00:13,00:01:51,00:03:40,80.06%,Rep06
180,326,174,96.67%,6,00:00:13,00:02:18,00:03:26,83.80%,Rep09
226,171,211,93.36%,15,00:00:20,00:02:04,00:04:53,76.23%,Rep07
226,359,212,93.81%,14,00:00:10,00:02:03,00:02:45,84.44%,Rep09
45,238,44,97.78%,1,00:00:02,00:02:04,00:00:55,97.78%,Rep04
218,105,194,88.99%,24,00:00:26,00:02:43,00:06:28,68.98%,Rep03
187,328,174,93.05%,13,00:00:15,00:02:16,00:04:39,81.52%,Rep04
191,65,184,96.34%,7,00:00:10,00:02:09,00:03:40,85.64%,Rep09
188,48,174,92.55%,14,00:00:15,00:02:25,00:03:09,76.88%,Rep05
154,73,148,96.10%,6,00:00:10,00:02:27,00:03:36,85.06%,Rep04
166,244,150,90.36%,16,00:00:18,00:02:26,00:04:38,76.83%,Rep05
58,103,57,98.28%,1,00:00:04,00:02:26,00:00:58,94.83%,Rep02
160,335,153,95.63%,7,00:00:10,00:02:23,00:02:45,84.91%,Rep02
86,352,79,91.86%,7,00:00:32,00:02:43,00:04:40,61.63%,Rep07
180,195,170,94.44%,10,00:00:23,00:02:31,00:05:45,77.53%,Rep05
210,106,192,91.43%,18,00:00:26,00:02:16,00:05:35,67.46%,Rep05
163,395,157,96.32%,6,00:00:14,00:02:19,00:02:55,81.37%,Rep06
143,168,140,97.90%,3,00:00:15,00:02:20,00:04:43,82.52%,Rep06
57,134,55,96.49%,2,00:00:06,00:02:03,00:01:50,91.23%,Rep01
179,185,172,96.09%,7,00:00:13,00:02:17,00:03:23,82.49%,Rep06
194,322,184,94.85%,10,00:00:24,00:02:24,00:03:19,70.10%,Rep09
201,216,196,97.51%,5,00:00:15,00:02:16,00:04:53,81.59%,Rep02
218,105,189,86.70%,29,00:00:32,00:02:37,00:08:04,57.41%,Rep06
194,196,190,97.94%,4,00:00:16,00:02:22,00:02:02,81.77%,Rep02
227,398,219,96.48%,8,00:00:15,00:02:44,00:03:55,83.63%,Rep07
52,204,52,100.00%,0,00:00:09,00:02:16,00:00:52,94.23%,Rep01
385,220,370,96.10%,15,00:00:20,00:02:11,00:03:10,76.19%,Rep10
137,247,130,94.89%,7,00:00:16,00:02:26,00:09:47,75.91%,Rep06
254,347,252,99.21%,2,00:00:10,00:02:08,00:01:10,91.34%,Rep08
211,59,206,97.63%,5,00:00:11,00:02:24,00:04:37,87.14%,Rep01
282,290,279,98.94%,3,00:00:07,00:02:18,00:01:11,93.21%,Rep05
262,138,260,99.24%,2,00:00:08,00:02:31,00:01:13,90.80%,Rep10
65,50,63,96.92%,2,00:00:12,00:02:22,00:02:10,85.94%,Rep05
325,282,323,99.38%,2,00:00:05,00:02:13,00:01:14,96.90%,Rep04
235,219,230,97.87%,5,00:00:05,00:02:19,00:00:58,96.14%,Rep06
215,306,212,98.60%,3,00:00:05,00:02:14,00:00:58,95.81%,Rep10
85,182,85,100.00%,0,00:00:03,00:02:26,00:00:55,97.65%,Rep03
195,202,195,100.00%,0,00:00:05,00:02:24,00:02:13,97.44%,Rep10
188,366,182,96.81%,6,00:00:15,00:02:14,00:01:51,83.61%,Rep03
58,291,58,100.00%,0,00:00:06,00:02:22,00:00:52,94.83%,Rep07
251,319,247,98.41%,4,00:00:14,00:02:16,00:01:53,83.53%,Rep10
181,390,178,98.34%,3,00:00:12,00:02:24,00:01:57,86.19%,Rep04
228,220,213,93.42%,15,00:00:26,00:02:16,00:03:07,63.56%,Rep07
165,106,163,98.79%,2,00:00:09,00:02:25,00:02:20,90.24%,Rep03
185,298,179,96.76%,6,00:00:17,00:02:17,00:02:33,78.57%,Rep09
172,278,164,95.35%,8,00:00:18,00:02:27,00:04:09,77.06%,Rep06
57,290,51,89.47%,6,00:00:07,00:01:47,00:03:40,90.57%,Rep03
200,292,192,96.00%,8,00:00:10,00:02:18,00:02:49,86.43%,Rep07
202,156,199,98.51%,3,00:00:08,00:02:05,00:01:17,91.00%,Rep06
217,127,212,97.70%,5,00:00:07,00:01:55,00:01:50,94.42%,Rep04
225,160,223,99.11%,2,00:00:09,00:02:09,00:01:06,91.93%,Rep06
235,141,231,98.30%,4,00:00:08,00:02:19,00:01:06,95.71%,Rep05
202,113,201,99.50%,1,00:00:08,00:02:21,00:01:53,94.55%,Rep10
43,246,39,90.70%,4,00:00:11,00:02:15,00:01:50,76.19%,Rep03
194,385,187,96.39%,7,00:00:10,00:02:27,00:02:30,87.43%,Rep08
202,332,199,98.51%,3,00:00:13,00:02:23,00:01:58,86.07%,Rep01
146,272,140,95.89%,6,00:00:12,00:02:13,00:04:35,83.45%,Rep09
147,212,145,98.64%,2,00:00:09,00:02:15,00:00:58,91.16%,Rep08
155,98,145,93.55%,10,00:00:12,00:02:33,00:04:33,82.24%,Rep01
157,239,156,99.36%,1,00:00:09,00:02:24,00:00:53,92.95%,Rep05
38,161,36,94.74%,2,00:00:13,00:02:11,00:00:59,83.78%,Rep02
166,170,162,97.59%,4,00:00:09,00:02:29,00:02:45,89.09%,Rep09
226,274,216,95.58%,10,00:00:13,00:02:15,00:01:46,81.45%,Rep08
253,81,247,97.63%,6,00:00:10,00:01:54,00:01:17,88.49%,Rep10
134,387,134,100.00%,0,00:00:03,00:02:13,00:00:26,100.00%,Rep10
70,126,67,95.71%,3,00:00:12,00:02:01,00:01:16,83.82%,Rep09
83,215,82,98.80%,1,00:00:07,00:02:03,00:01:16,95.18%,Rep04
42,89,40,95.24%,2,00:00:08,00:01:51,00:01:36,90.24%,Rep01
66,334,64,96.97%,2,00:00:05,00:02:00,00:01:39,95.45%,Rep06
153,164,146,95.42%,7,00:00:20,00:02:08,00:04:32,76.00%,Rep05
141,84,135,95.74%,6,00:00:23,00:02:06,00:02:15,66.91%,Rep04
146,217,143,97.95%,3,00:00:17,00:01:57,00:02:27,78.32%,Rep06
144,104,140,97.22%,4,00:00:12,00:01:53,00:02:05,84.03%,Rep04
105,115,103,98.10%,2,00:00:17,00:01:55,00:02:01,76.19%,Rep07
36,244,35,97.22%,1,00:00:16,00:01:54,00:01:31,77.14%,Rep08
61,288,57,93.44%,4,00:00:04,00:02:00,00:03:41,91.67%,Rep06
60,204,58,96.67%,2,00:00:11,00:02:08,00:01:34,85.00%,Rep08
18,191,17,94.44%,1,00:00:05,00:02:39,00:00:20,100.00%,Rep06
206,342,202,98.06%,4,00:00:09,00:01:54,00:01:10,89.27%,Rep10
194,285,193,99.48%,1,00:00:11,00:01:57,00:01:34,84.97%,Rep09
206,117,200,97.09%,6,00:00:10,00:02:08,00:02:00,86.27%,Rep10
53,165,53,100.00%,0,00:00:18,00:02:08,00:02:10,77.36%,Rep02
147,123,145,98.64%,2,00:00:09,00:01:50,00:01:24,88.36%,Rep03
201,218,197,98.01%,4,00:00:09,00:01:59,00:02:23,90.95%,Rep06
202,367,198,98.02%,4,00:00:10,00:02:09,00:01:11,88.50%,Rep06
226,81,219,96.90%,7,00:00:10,00:02:12,00:02:45,88.00%,Rep08
167,98,163,97.60%,4,00:00:07,00:02:09,00:01:50,92.77%,Rep03
164,332,164,100.00%,0,00:00:11,00:02:17,00:01:45,89.02%,Rep06
42,328,41,97.62%,1,00:00:11,00:02:09,00:01:18,87.80%,Rep05
79,188,78,98.73%,1,00:00:07,00:02:23,00:00:48,94.87%,Rep03
165,301,162,98.18%,3,00:00:09,00:02:09,00:01:50,89.70%,Rep08
180,224,174,96.67%,6,00:00:16,00:02:16,00:01:43,77.78%,Rep06
179,133,176,98.32%,3,00:00:10,00:02:26,00:01:50,87.64%,Rep10
217,80,215,99.08%,2,00:00:08,00:02:08,00:02:07,91.71%,Rep05
171,64,167,97.66%,4,00:00:10,00:02:15,00:01:50,86.47%,Rep05
37,319,37,100.00%,0,00:00:09,00:01:57,00:01:22,86.49%,Rep03
215,203,206,95.81%,9,00:00:18,00:02:09,00:02:45,80.95%,Rep01
218,290,212,97.25%,6,00:00:16,00:02:17,00:02:09,84.26%,Rep05
205,248,202,98.54%,3,00:00:11,00:02:25,00:01:37,90.69%,Rep01
195,41,190,97.44%,5,00:00:12,00:02:22,00:01:14,89.01%,Rep06
181,317,176,97.24%,5,00:00:13,00:02:13,00:01:16,82.22%,Rep09
212,167,206,97.17%,6,00:00:11,00:02:20,00:01:49,89.42%,Rep07
33,195,32,96.97%,1,00:00:08,00:02:28,00:00:55,90.91%,Rep09
298,82,287,96.31%,11,00:00:13,00:01:35,00:02:51,83.33%,Rep07
158,210,156,98.73%,2,00:00:11,00:02:23,00:01:32,89.81%,Rep10
156,251,154,98.72%,2,00:00:12,00:02:13,00:01:01,85.81%,Rep04
163,360,163,100.00%,0,00:00:10,00:02:02,00:02:46,92.64%,Rep08
98,226,98,100.00%,0,00:00:07,00:02:10,00:01:10,93.88%,Rep10
255,240,249,97.65%,6,00:00:15,00:02:19,00:05:31,82.68%,Rep02
50,161,49,98.00%,1,00:00:08,00:02:02,00:00:57,92.00%,Rep02
290,205,289,99.66%,1,00:00:12,00:02:01,00:01:10,89.27%,Rep05
296,224,281,94.93%,15,00:00:22,00:02:08,00:04:30,73.54%,Rep03
260,202,257,98.85%,3,00:00:17,00:02:13,00:01:20,87.16%,Rep05
201,376,193,96.02%,8,00:00:19,00:02:23,00:02:02,76.77%,Rep10
132,111,131,99.24%,1,00:00:17,00:02:13,00:01:30,76.52%,Rep05
167,210,165,98.80%,2,00:00:09,00:02:06,00:00:57,92.12%,Rep03
85,251,79,92.94%,6,00:00:18,00:02:25,00:01:53,77.38%,Rep07
244,160,236,96.72%,8,00:00:21,00:02:29,00:01:56,75.62%,Rep02
186,371,182,97.85%,4,00:00:14,00:02:13,00:01:38,79.03%,Rep09
278,262,264,94.96%,14,00:00:19,00:02:20,00:02:10,76.84%,Rep09
272,221,268,98.53%,4,00:00:15,00:02:30,00:01:45,80.00%,Rep03
218,233,206,94.50%,12,00:00:25,00:02:21,00:03:41,67.28%,Rep09
152,393,148,97.37%,4,00:00:14,00:02:18,00:01:25,83.33%,Rep08
48,320,43,89.58%,5,00:00:22,00:02:01,00:01:21,69.57%,Rep06
186,50,181,97.31%,5,00:00:14,00:02:20,00:01:49,84.95%,Rep02
182,363,180,98.90%,2,00:00:08,00:02:10,00:00:58,93.37%,Rep04
192,292,188,97.92%,4,00:00:20,00:01:58,00:01:56,76.19%,Rep02
155,304,148,95.48%,7,00:00:14,00:02:24,00:02:18,85.33%,Rep10
144,366,142,98.61%,2,00:00:11,00:02:19,00:01:05,90.21%,Rep02
164,98,162,98.78%,2,00:00:12,00:02:35,00:01:50,85.37%,Rep10
27,125,26,96.30%,1,00:00:11,00:02:04,00:01:17,81.48%,Rep03
177,313,175,98.87%,2,00:00:11,00:02:19,00:01:35,90.86%,Rep07
134,149,131,97.76%,3,00:00:14,00:02:23,00:01:39,81.34%,Rep05
125,340,120,96.00%,5,00:00:14,00:02:20,00:02:52,84.55%,Rep08
167,215,163,97.60%,4,00:00:16,00:02:24,00:01:12,81.21%,Rep03
169,205,167,98.82%,2,00:00:09,00:02:14,00:01:44,89.94%,Rep02
162,321,160,98.77%,2,00:00:16,00:02:15,00:01:31,83.13%,Rep10
25,377,25,100.00%,0,00:00:16,00:02:35,00:00:58,76.00%,Rep10
157,281,146,92.99%,11,00:00:17,00:02:17,00:01:51,79.74%,Rep09
166,367,154,92.77%,12,00:00:25,00:02:18,00:03:39,66.26%,Rep06
58,199,55,94.83%,3,00:00:16,00:02:11,00:02:45,74.14%,Rep05
75,73,74,98.67%,1,00:00:15,00:02:13,00:03:18,84.00%,Rep01
28,133,28,100.00%,0,00:00:07,00:02:28,00:00:51,96.43%,Rep06
108,68,107,99.07%,1,00:00:09,00:02:11,00:00:59,94.44%,Rep07
21,305,21,100.00%,0,00:00:07,00:02:58,00:00:58,95.24%,Rep01
189,121,182,96.30%,7,00:00:21,00:02:10,00:04:46,76.34%,Rep08
161,119,155,96.27%,6,00:00:19,00:02:27,00:01:50,71.88%,Rep08
155,85,151,97.42%,4,00:00:17,00:02:20,00:01:49,80.52%,Rep08
161,194,150,93.17%,11,00:00:17,00:02:22,00:02:45,75.32%,Rep10
132,238,129,97.73%,3,00:00:27,00:02:22,00:02:34,65.15%,Rep05
122,279,119,97.54%,3,00:00:16,00:02:24,00:01:50,80.00%,Rep05
17,322,17,100.00%,0,00:00:21,00:02:40,00:00:58,76.47%,Rep07
45,195,45,100.00%,0,00:00:06,00:02:06,00:00:57,95.56%,Rep03
177,100,172,97.18%,5,00:00:20,00:02:23,00:02:51,76.00%,Rep04
133,388,132,99.25%,1,00:00:10,00:02:25,00:00:59,93.23%,Rep09
177,310,167,94.35%,10,00:00:15,00:02:22,00:04:35,83.24%,Rep01
127,251,124,97.64%,3,00:00:16,00:02:22,00:01:45,81.89%,Rep08
148,320,147,99.32%,1,00:00:16,00:02:11,00:03:11,83.11%,Rep08
23,328,23,100.00%,0,00:00:32,00:02:02,00:02:43,65.22%,Rep10
141,136,134,95.04%,7,00:00:24,00:02:38,00:02:29,72.14%,Rep06
124,127,120,96.77%,4,00:00:20,00:02:33,00:02:58,82.26%,Rep08
165,128,156,94.55%,9,00:00:25,00:02:21,00:02:38,70.55%,Rep10
168,295,166,98.81%,2,00:00:21,00:02:33,00:03:43,80.12%,Rep03
198,328,188,94.95%,10,00:00:22,00:02:32,00:02:45,70.92%,Rep05
139,296,133,95.68%,6,00:00:17,00:02:40,00:03:03,80.15%,Rep07
46,330,45,97.83%,1,00:00:10,00:02:14,00:01:16,88.89%,Rep02
184,301,174,94.57%,10,00:00:23,00:02:37,00:04:35,76.54%,Rep10
207,89,190,91.79%,17,00:00:21,00:02:23,00:04:06,71.36%,Rep04
191,387,180,94.24%,11,00:00:21,00:02:32,00:01:53,76.50%,Rep09
213,103,204,95.77%,9,00:00:24,00:02:26,00:02:46,69.67%,Rep07
483,191,451,93.37%,32,00:00:16,00:00:57,00:08:45,79.20%,Rep06
547,252,526,96.16%,21,00:00:19,00:01:21,00:03:54,81.58%,Rep01
54,163,53,98.15%,1,00:00:25,00:02:36,00:01:18,70.37%,Rep02
275,392,261,94.91%,14,00:00:22,00:02:13,00:02:12,74.44%,Rep06
205,194,195,95.12%,10,00:00:24,00:02:34,00:03:00,70.79%,Rep09
80,367,77,96.25%,3,00:00:10,00:02:11,00:01:33,89.61%,Rep01
200,353,195,97.50%,5,00:00:21,00:02:30,00:02:48,75.25%,Rep05
154,396,150,97.40%,4,00:00:21,00:02:29,00:02:45,74.34%,Rep05
163,366,155,95.09%,8,00:00:23,00:02:18,00:02:26,74.52%,Rep01
12,299,12,100.00%,0,00:00:25,00:03:37,00:01:28,66.67%,Rep10
218,221,212,97.25%,6,00:00:20,00:01:56,00:04:11,75.93%,Rep05
172,132,163,94.77%,9,00:00:18,00:02:09,00:01:53,81.93%,Rep01
205,74,194,94.63%,11,00:00:18,00:02:24,00:01:41,80.60%,Rep03
178,252,168,94.38%,10,00:00:23,00:02:28,00:02:50,68.97%,Rep10
214,124,201,93.93%,13,00:00:23,00:02:11,00:02:24,66.03%,Rep10
169,99,161,95.27%,8,00:00:23,00:02:17,00:04:35,71.69%,Rep02
46,40,46,100.00%,0,00:00:25,00:02:24,00:01:35,71.74%,Rep05
183,298,177,96.72%,6,00:00:18,00:02:30,00:01:07,81.11%,Rep01
208,171,190,91.35%,18,00:00:21,00:02:25,00:01:50,74.11%,Rep03
234,51,224,95.73%,10,00:00:22,00:02:15,00:03:20,74.14%,Rep05
204,76,194,95.10%,10,00:00:18,00:02:17,00:01:50,78.71%,Rep05
204,267,189,92.65%,15,00:00:21,00:02:15,00:03:56,70.79%,Rep07
99,184,99,100.00%,0,00:00:16,00:02:25,00:01:02,82.83%,Rep05
29,159,27,93.10%,2,00:00:19,00:02:47,00:02:22,78.57%,Rep04
167,60,159,95.21%,8,00:00:23,00:02:28,00:04:35,70.48%,Rep02
164,171,161,98.17%,3,00:00:17,00:02:35,00:01:37,81.71%,Rep10
158,270,147,93.04%,11,00:00:21,00:02:34,00:02:03,72.44%,Rep04
165,41,161,97.58%,4,00:00:17,00:02:26,00:01:06,77.91%,Rep06
129,318,124,96.12%,5,00:00:23,00:02:28,00:01:50,70.87%,Rep10
155,162,149,96.13%,6,00:00:23,00:02:26,00:04:19,74.51%,Rep10
24,84,22,91.67%,2,00:00:28,00:02:24,00:01:21,54.17%,Rep07
209,102,200,95.69%,9,00:00:23,00:02:24,00:02:11,66.67%,Rep04
239,107,226,94.56%,13,00:00:26,00:02:19,00:02:50,67.23%,Rep05
229,220,210,91.70%,19,00:00:29,00:02:23,00:08:16,64.16%,Rep01
194,182,172,88.66%,22,00:00:23,00:02:20,00:06:16,66.14%,Rep08
202,124,179,88.61%,23,00:00:24,00:02:16,00:02:50,64.43%,Rep01
268,158,254,94.78%,14,00:00:15,00:01:51,00:02:40,81.13%,Rep05
52,247,49,94.23%,3,00:00:18,00:02:18,00:02:17,76.47%,Rep01
414,241,397,95.89%,17,00:00:23,00:01:58,00:05:32,70.73%,Rep03
346,278,325,93.93%,21,00:00:27,00:02:22,00:02:45,65.69%,Rep03
187,203,179,95.72%,8,00:00:25,00:02:14,00:02:59,67.03%,Rep10
203,55,186,91.63%,17,00:00:24,00:02:38,00:04:35,69.59%,Rep06
204,388,194,95.10%,10,00:00:18,00:02:33,00:02:02,82.41%,Rep04
126,186,121,96.03%,5,00:00:21,00:02:32,00:01:51,70.63%,Rep02
36,286,36,100.00%,0,00:00:17,00:02:07,00:01:31,77.78%,Rep04
180,90,165,91.67%,15,00:00:27,00:02:30,00:02:19,66.09%,Rep04
169,81,162,95.86%,7,00:00:20,00:02:25,00:01:53,74.56%,Rep04
155,233,151,97.42%,4,00:00:21,00:02:20,00:02:45,70.97%,Rep07
169,204,137,81.07%,32,00:00:38,00:02:24,00:05:30,40.36%,Rep04
61,238,45,73.77%,16,00:00:32,00:02:49,00:05:30,40.98%,Rep07
167,84,136,81.44%,31,00:00:42,00:02:36,00:05:28,35.98%,Rep07
32,83,27,84.38%,5,00:00:35,00:02:22,00:03:10,53.13%,Rep08
229,259,148,64.63%,81,00:00:36,00:02:48,00:10:39,43.18%,Rep08
208,275,204,98.08%,4,00:00:19,00:03:06,00:05:14,77.67%,Rep10
175,80,168,96.00%,7,00:00:25,00:02:51,00:03:44,65.12%,Rep02
177,60,167,94.35%,10,00:00:22,00:02:41,00:04:24,68.39%,Rep06
822,48,767,93.31%,55,00:00:24,00:01:25,00:04:35,64.40%,Rep01
87,121,85,97.70%,2,00:00:23,00:02:25,00:02:17,67.82%,Rep08
41,242,39,95.12%,2,00:00:15,00:02:42,00:01:18,82.50%,Rep03
280,301,257,91.79%,23,00:00:31,00:02:33,00:07:55,63.87%,Rep07
199,181,192,96.48%,7,00:00:22,00:02:46,00:02:48,73.87%,Rep01
252,131,239,94.84%,13,00:00:29,00:02:29,00:03:36,64.92%,Rep03
220,199,208,94.55%,12,00:00:20,00:02:36,00:02:45,75.59%,Rep07
206,209,193,93.69%,13,00:00:24,00:02:27,00:03:37,75.49%,Rep03
217,185,206,94.93%,11,00:00:22,00:02:26,00:02:02,71.03%,Rep03
24,69,24,100.00%,0,00:00:19,00:02:50,00:01:07,79.17%,Rep02
248,139,238,95.97%,10,00:00:13,00:02:27,00:01:50,85.25%,Rep04
222,182,212,95.50%,10,00:00:20,00:02:25,00:03:41,77.73%,Rep02
190,320,178,93.68%,12,00:00:32,00:02:27,00:02:45,55.08%,Rep08
238,267,231,97.06%,7,00:00:20,00:02:27,00:02:03,79.66%,Rep08
214,288,205,95.79%,9,00:00:20,00:02:34,00:02:34,79.05%,Rep03
186,119,176,94.62%,10,00:00:23,00:02:15,00:05:03,70.88%,Rep02
21,45,20,95.24%,1,00:00:14,00:02:25,00:00:54,85.00%,Rep04
169,282,157,92.90%,12,00:00:21,00:02:29,00:04:30,77.71%,Rep04
149,40,141,94.63%,8,00:00:16,00:02:38,00:02:37,79.05%,Rep02
171,120,164,95.91%,7,00:00:19,00:02:22,00:03:49,77.19%,Rep09
127,266,122,96.06%,5,00:00:13,00:02:22,00:01:25,87.80%,Rep09
21,221,21,100.00%,0,00:00:08,00:03:03,00:00:58,90.48%,Rep08
5,235,5,100.00%,0,00:00:14,00:02:37,00:00:59,80.00%,Rep02
33,284,32,96.97%,1,00:00:26,00:02:04,00:01:45,66.67%,Rep05
145,249,139,95.86%,6,00:00:20,00:02:28,00:03:41,79.02%,Rep09
129,65,127,98.45%,2,00:00:19,00:02:13,00:01:49,75.59%,Rep09
194,135,178,91.75%,16,00:00:26,00:02:36,00:05:20,67.19%,Rep07
194,89,187,96.39%,7,00:00:24,00:02:25,00:03:44,77.25%,Rep10
202,94,195,96.53%,7,00:00:21,00:02:21,00:02:59,74.75%,Rep05
214,338,208,97.20%,6,00:00:13,00:02:19,00:00:57,88.15%,Rep03
28,372,28,100.00%,0,00:00:13,00:02:13,00:01:18,89.29%,Rep02
191,100,187,97.91%,4,00:00:15,00:02:23,00:01:40,82.54%,Rep03
205,219,197,96.10%,8,00:00:21,00:02:27,00:02:23,74.38%,Rep09
198,373,196,98.99%,2,00:00:23,00:02:28,00:02:03,73.60%,Rep02
184,163,177,96.20%,7,00:00:20,00:02:41,00:01:50,78.57%,Rep01
184,149,174,94.57%,10,00:00:25,00:02:27,00:02:47,70.00%,Rep10
168,66,160,95.24%,8,00:00:26,00:02:25,00:02:04,68.26%,Rep06
39,227,37,94.87%,2,00:00:14,00:02:08,00:01:03,81.08%,Rep09
225,126,210,93.33%,15,00:00:28,00:02:13,00:02:33,66.97%,Rep02
182,113,174,95.60%,8,00:00:32,00:02:16,00:03:56,60.22%,Rep03
346,84,305,88.15%,41,00:00:45,00:01:57,00:05:07,45.03%,Rep10
450,245,441,98.00%,9,00:00:19,00:01:53,00:02:31,78.30%,Rep05
259,179,248,95.75%,11,00:00:20,00:02:06,00:01:51,75.39%,Rep09
231,189,214,92.64%,17,00:00:18,00:02:06,00:02:31,79.56%,Rep07
48,40,47,97.92%,1,00:00:13,00:02:03,00:01:46,89.58%,Rep07
246,46,236,95.93%,10,00:00:20,00:02:11,00:04:36,79.18%,Rep09
202,324,195,96.53%,7,00:00:25,00:02:15,00:05:33,74.50%,Rep09
153,212,150,98.04%,3,00:00:15,00:02:15,00:02:12,82.24%,Rep02
178,178,172,96.63%,6,00:00:19,00:02:15,00:04:35,78.29%,Rep06
172,303,165,95.93%,7,00:00:19,00:02:24,00:03:24,79.29%,Rep05
208,369,200,96.15%,8,00:00:26,00:02:23,00:03:15,68.78%,Rep06
77,65,76,98.70%,1,00:00:29,00:02:16,00:01:54,58.44%,Rep07
291,220,250,85.91%,41,00:00:41,00:02:20,00:07:10,55.44%,Rep01
219,116,212,96.80%,7,00:00:21,00:02:19,00:01:50,76.85%,Rep10
173,249,169,97.69%,4,00:00:18,00:02:13,00:02:14,81.40%,Rep02
204,172,197,96.57%,7,00:00:17,00:02:23,00:01:57,80.00%,Rep10
216,52,185,85.65%,31,00:00:30,00:02:17,00:06:26,61.43%,Rep01
461,315,441,95.66%,20,00:00:30,00:02:18,00:03:40,61.49%,Rep06
56,384,55,98.21%,1,00:00:26,00:02:11,00:01:53,66.07%,Rep06
192,105,176,91.67%,16,00:00:23,00:02:05,00:02:47,68.28%,Rep03
382,260,365,95.55%,17,00:00:20,00:01:35,00:02:53,73.14%,Rep01
246,187,223,90.65%,23,00:00:25,00:02:14,00:05:24,71.67%,Rep07
48,81,46,95.83%,2,00:00:26,00:02:14,00:01:25,72.34%,Rep06
221,396,205,92.76%,16,00:00:26,00:02:15,00:03:15,63.08%,Rep05
275,308,261,94.91%,14,00:00:33,00:02:19,00:02:58,58.52%,Rep04
39,263,36,92.31%,3,00:00:19,00:01:53,00:01:52,77.78%,Rep10
250,360,236,94.40%,14,00:00:29,00:02:08,00:04:07,59.04%,Rep05
197,300,184,93.40%,13,00:00:29,00:02:23,00:03:41,55.61%,Rep06
223,68,208,93.27%,15,00:00:28,00:02:21,00:06:51,72.27%,Rep08
240,268,236,98.33%,4,00:00:18,00:02:14,00:02:08,77.92%,Rep05
55,248,52,94.55%,3,00:00:16,00:02:19,00:01:42,78.18%,Rep07
