Incoming Calls,Outgoing Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Sales Rep
59,397,54,91.53%,5,00:00:08,00:02:06,00:02:01,84.75%,Rep01
36,150,31,86.11%,5,00:00:11,00:02:22,00:01:56,72.22%,Rep08
229,119,219,95.63%,10,00:00:13,00:02:07,00:02:35,84.89%,Rep09
206,194,189,91.75%,17,00:00:15,00:02:19,00:03:48,82.83%,Rep05
225,396,200,88.89%,25,00:00:21,00:02:21,00:04:42,73.11%,Rep01
200,130,193,96.50%,7,00:00:17,00:02:23,00:03:40,79.29%,Rep09
189,298,179,94.71%,10,00:00:22,00:02:10,00:06:41,78.07%,Rep09
169,374,159,94.08%,10,00:00:22,00:02:23,00:03:26,73.65%,Rep02
41,321,40,97.56%,1,00:00:25,00:02:32,00:02:05,68.29%,Rep05
218,357,187,85.78%,31,00:00:48,00:02:15,00:05:13,52.11%,Rep07
194,226,185,95.36%,9,00:00:21,00:02:10,00:02:45,71.58%,Rep02
176,58,172,97.73%,4,00:00:16,00:02:20,00:02:15,82.08%,Rep10
181,318,179,98.90%,2,00:00:18,00:02:21,00:02:17,80.56%,Rep06
159,211,151,94.97%,8,00:00:29,00:01:59,00:03:41,61.01%,Rep10
144,349,135,93.75%,9,00:00:24,00:02:12,00:06:25,70.63%,Rep05
30,191,29,96.67%,1,00:00:33,00:02:58,00:02:16,60.00%,Rep01
197,315,185,93.91%,12,00:00:24,00:02:18,00:02:20,68.23%,Rep04
56,238,47,83.93%,9,00:00:24,00:02:22,00:02:48,58.93%,Rep08
182,379,153,84.07%,29,00:00:38,00:02:17,00:10:41,53.89%,Rep08
178,381,166,93.26%,12,00:00:30,00:02:24,00:05:12,62.07%,Rep07
183,339,164,89.62%,19,00:00:25,00:02:04,00:03:40,65.91%,Rep04
197,236,182,92.39%,15,00:00:28,00:02:25,00:04:20,64.80%,Rep10
60,54,58,96.67%,2,00:00:37,00:02:36,00:03:10,54.24%,Rep08
241,361,224,92.95%,17,00:00:23,00:02:25,00:02:45,70.46%,Rep01
307,245,295,96.09%,12,00:00:29,00:02:16,00:02:45,60.46%,Rep03
295,361,289,97.97%,6,00:00:26,00:02:23,00:03:11,70.69%,Rep07
239,263,230,96.23%,9,00:00:26,00:02:14,00:03:14,68.91%,Rep06
241,339,231,95.85%,10,00:00:23,00:02:25,00:01:52,72.46%,Rep03
211,371,195,92.42%,16,00:00:33,00:02:42,00:03:16,52.40%,Rep04
40,366,35,87.50%,5,00:00:40,00:02:35,00:03:12,47.50%,Rep05
192,230,174,90.63%,18,00:00:32,00:02:16,00:03:40,55.79%,Rep10
201,373,179,89.05%,22,00:00:35,00:02:18,00:03:40,57.29%,Rep09
274,323,247,90.15%,27,00:00:28,00:02:10,00:04:04,63.94%,Rep07
205,312,176,85.85%,29,00:00:41,00:02:16,00:05:11,46.23%,Rep06
177,313,160,90.40%,17,00:00:28,00:02:20,00:03:59,59.20%,Rep05
159,397,151,94.97%,8,00:00:22,00:02:08,00:07:22,73.25%,Rep08
33,257,28,84.85%,5,00:00:13,00:02:30,00:01:02,66.67%,Rep01
228,201,210,92.11%,18,00:00:23,00:02:08,00:03:09,66.67%,Rep03
177,257,172,97.18%,5,00:00:25,00:02:15,00:02:52,69.14%,Rep09
197,376,169,85.79%,28,00:00:34,00:02:30,00:07:41,55.67%,Rep06
721,58,616,85.44%,105,00:00:57,00:01:55,00:05:48,28.31%,Rep08
301,260,270,89.70%,31,00:00:42,00:02:05,00:10:06,42.47%,Rep10
179,372,175,97.77%,4,00:00:24,00:02:21,00:03:12,71.35%,Rep07
45,298,45,100.00%,0,00:00:16,00:02:11,00:03:21,86.67%,Rep05
180,134,164,91.11%,16,00:00:25,00:02:22,00:01:50,61.80%,Rep02
206,174,200,97.09%,6,00:00:22,00:02:19,00:02:07,74.63%,Rep04
187,385,181,96.79%,6,00:00:32,00:02:30,00:03:54,62.70%,Rep06
186,172,177,95.16%,9,00:00:28,00:02:22,00:05:30,67.93%,Rep03
189,146,180,95.24%,9,00:00:35,00:02:15,00:03:24,56.45%,Rep06
127,383,116,91.34%,11,00:00:34,00:02:25,00:02:46,56.45%,Rep02
93,176,90,96.77%,3,00:00:26,00:01:57,00:02:57,63.44%,Rep10
328,55,292,89.02%,36,00:00:37,00:02:17,00:06:25,49.68%,Rep06
238,279,223,93.70%,15,00:00:33,00:02:23,00:03:40,59.23%,Rep07
237,292,222,93.67%,15,00:00:34,00:02:24,00:02:52,53.85%,Rep09
257,162,235,91.44%,22,00:00:45,00:02:31,00:04:24,44.66%,Rep04
238,391,223,93.70%,15,00:00:32,00:02:17,00:03:22,54.70%,Rep07
199,382,164,82.41%,35,00:00:32,00:02:13,00:06:56,59.18%,Rep09
30,195,27,90.00%,3,00:00:32,00:02:34,00:02:37,60.71%,Rep04
176,47,163,92.61%,13,00:00:38,00:02:05,00:05:30,54.29%,Rep03
162,55,144,88.89%,18,00:00:41,00:02:25,00:03:40,50.31%,Rep01
169,295,157,92.90%,12,00:00:29,00:02:29,00:01:56,53.89%,Rep09
155,134,146,94.19%,9,00:00:30,00:02:18,00:03:10,50.98%,Rep10
247,202,205,83.00%,42,00:00:49,00:02:26,00:07:36,38.49%,Rep08
191,246,186,97.38%,5,00:00:24,00:02:14,00:01:54,70.53%,Rep06
30,258,29,96.67%,1,00:00:06,00:02:15,00:00:46,93.33%,Rep10
316,396,290,91.77%,26,00:00:31,00:02:21,00:04:02,59.16%,Rep04
211,264,195,92.42%,16,00:00:34,00:02:21,00:06:25,55.77%,Rep05
208,138,169,81.25%,39,00:00:45,00:02:18,00:07:15,45.85%,Rep05
130,135,124,95.38%,6,00:00:22,00:02:17,00:02:15,68.99%,Rep03
134,172,129,96.27%,5,00:00:24,00:02:12,00:03:28,70.90%,Rep05
124,214,121,97.58%,3,00:00:27,00:02:19,00:03:19,70.73%,Rep03
47,318,43,91.49%,4,00:00:37,00:02:18,00:03:16,54.35%,Rep08
197,173,186,94.42%,11,00:00:28,00:02:18,00:02:27,63.83%,Rep02
158,124,146,92.41%,12,00:00:31,00:02:24,00:03:40,56.96%,Rep07
163,330,151,92.64%,12,00:00:28,00:02:13,00:04:53,63.75%,Rep04
178,338,160,89.89%,18,00:00:35,00:02:39,00:04:41,54.49%,Rep07
151,351,128,84.77%,23,00:00:35,00:02:23,00:05:38,53.38%,Rep10
118,397,106,89.83%,12,00:00:33,00:02:25,00:04:32,55.17%,Rep06
31,119,28,90.32%,3,00:00:40,00:02:40,00:03:12,43.33%,Rep06
139,152,134,96.40%,5,00:00:31,00:02:23,00:02:50,59.42%,Rep10
171,54,154,90.06%,17,00:00:27,00:02:24,00:06:28,65.66%,Rep06
160,206,156,97.50%,4,00:00:27,00:02:15,00:01:47,64.56%,Rep07
177,162,169,95.48%,8,00:00:29,00:02:31,00:03:40,64.37%,Rep06
187,171,180,96.26%,7,00:00:26,00:02:22,00:05:56,65.59%,Rep06
147,125,138,93.88%,9,00:00:26,00:02:24,00:05:19,61.38%,Rep08
35,397,35,100.00%,0,00:00:08,00:02:10,00:00:47,88.57%,Rep01
208,365,194,93.27%,14,00:00:35,00:02:26,00:04:26,56.93%,Rep05
162,140,155,95.68%,7,00:00:19,00:02:17,00:03:43,77.99%,Rep01
152,73,143,94.08%,9,00:00:22,00:02:28,00:03:41,70.00%,Rep09
132,379,125,94.70%,7,00:00:26,00:02:07,00:03:52,68.94%,Rep04
133,213,131,98.50%,2,00:00:12,00:02:19,00:01:19,87.12%,Rep05
129,127,121,93.80%,8,00:00:33,00:02:37,00:04:01,61.42%,Rep05
37,102,35,94.59%,2,00:00:19,00:02:21,00:01:32,75.68%,Rep02
56,367,54,96.43%,2,00:00:13,00:02:33,00:02:13,87.27%,Rep08
215,206,210,97.67%,5,00:00:12,00:01:34,00:01:42,87.74%,Rep02
50,195,46,92.00%,4,00:00:14,00:02:42,00:01:13,72.00%,Rep01
136,347,129,94.85%,7,00:00:22,00:02:26,00:02:30,66.42%,Rep09
160,284,142,88.75%,18,00:00:35,00:02:34,00:03:10,55.92%,Rep08
132,307,115,87.12%,17,00:00:36,00:02:27,00:04:35,48.84%,Rep04
30,287,28,93.33%,2,00:00:47,00:02:36,00:02:22,40.00%,Rep02
150,217,140,93.33%,10,00:00:29,00:02:32,00:02:11,63.09%,Rep02
160,382,144,90.00%,16,00:00:46,00:02:39,00:04:25,49.68%,Rep09
132,270,122,92.42%,10,00:00:37,00:02:38,00:03:51,50.00%,Rep07
161,103,151,93.79%,10,00:00:28,00:02:07,00:02:50,61.39%,Rep01
156,223,149,95.51%,7,00:00:22,00:02:28,00:04:11,70.32%,Rep08
137,302,128,93.43%,9,00:00:31,00:02:30,00:05:04,62.69%,Rep03
28,388,25,89.29%,3,00:01:00,00:02:47,00:04:46,32.14%,Rep03
141,333,133,94.33%,8,00:00:33,00:02:42,00:04:38,63.31%,Rep01
130,261,123,94.62%,7,00:00:32,00:02:40,00:02:20,53.49%,Rep08
161,132,155,96.27%,6,00:00:27,00:02:43,00:02:43,73.58%,Rep09
139,203,132,94.96%,7,00:00:28,00:02:40,00:01:51,63.31%,Rep07
167,329,130,77.84%,37,00:00:29,00:02:34,00:11:56,54.60%,Rep09
138,59,122,88.41%,16,00:00:35,00:02:49,00:05:30,57.78%,Rep03
47,195,44,93.62%,3,00:00:26,00:03:11,00:03:29,63.04%,Rep05
230,82,206,89.57%,24,00:00:38,00:02:34,00:04:35,46.72%,Rep03
177,70,153,86.44%,24,00:00:30,00:02:53,00:04:28,55.49%,Rep08
159,137,149,93.71%,10,00:00:33,00:02:40,00:04:32,61.04%,Rep02
151,191,135,89.40%,16,00:00:36,00:02:32,00:04:41,52.74%,Rep10
138,123,126,91.30%,12,00:00:34,00:02:17,00:04:10,59.70%,Rep09
118,366,118,100.00%,0,00:00:26,00:02:33,00:01:38,66.10%,Rep08
22,243,21,95.45%,1,00:00:42,00:02:24,00:02:56,52.38%,Rep06
177,342,156,88.14%,21,00:00:42,00:02:39,00:03:16,42.37%,Rep04
156,188,147,94.23%,9,00:00:29,00:02:31,00:03:41,63.64%,Rep08
123,69,121,98.37%,2,00:00:26,00:02:28,00:03:29,64.23%,Rep01
130,73,125,96.15%,5,00:00:26,00:02:29,00:03:28,66.93%,Rep08
141,288,134,95.04%,7,00:00:39,00:02:33,00:03:08,56.43%,Rep02
121,186,113,93.39%,8,00:00:38,00:02:38,00:04:18,50.83%,Rep08
35,178,31,88.57%,4,00:00:34,00:02:05,00:04:29,47.06%,Rep01
240,264,226,94.17%,14,00:00:36,00:02:15,00:04:06,57.02%,Rep04
130,280,118,90.77%,12,00:00:32,00:02:23,00:03:40,57.81%,Rep08
140,253,130,92.86%,10,00:00:29,00:02:31,00:07:35,62.32%,Rep02
131,240,111,84.73%,20,00:00:38,00:03:16,00:09:59,59.69%,Rep05
74,282,74,100.00%,0,00:00:13,00:02:55,00:01:53,89.19%,Rep01
24,177,24,100.00%,0,00:00:12,00:02:47,00:00:57,83.33%,Rep07
11,81,10,90.91%,1,00:00:13,00:02:24,00:00:55,81.82%,Rep09
28,225,26,92.86%,2,00:00:10,00:02:30,00:01:26,81.48%,Rep02
43,231,43,100.00%,0,00:00:08,00:02:23,00:00:52,88.37%,Rep05
62,348,62,100.00%,0,00:00:17,00:02:12,00:01:26,82.26%,Rep04
70,297,69,98.57%,1,00:00:22,00:02:06,00:08:40,81.43%,Rep08
107,273,97,90.65%,10,00:00:21,00:02:26,00:02:40,68.87%,Rep01
91,98,85,93.41%,6,00:00:30,00:02:27,00:05:49,62.64%,Rep05
25,140,25,100.00%,0,00:00:11,00:02:40,00:00:55,84.00%,Rep04
85,302,79,92.94%,6,00:00:24,00:02:31,00:03:07,72.29%,Rep08
91,365,83,91.21%,8,00:00:26,00:02:37,00:03:40,62.64%,Rep01
48,117,46,95.83%,2,00:00:11,00:02:13,00:01:22,82.98%,Rep03
14,234,11,78.57%,3,00:00:18,00:02:27,00:02:45,61.54%,Rep07
43,173,42,97.67%,1,00:00:22,00:02:47,00:03:15,73.81%,Rep04
74,196,69,93.24%,5,00:00:23,00:02:31,00:04:48,76.71%,Rep05
33,258,33,100.00%,0,00:00:14,00:02:25,00:01:29,81.82%,Rep07
124,107,112,90.32%,12,00:00:26,00:02:36,00:05:30,64.75%,Rep05
130,274,126,96.92%,4,00:00:25,00:02:30,00:02:58,65.89%,Rep02
139,103,139,100.00%,0,00:00:18,00:02:40,00:03:03,77.54%,Rep09
138,349,130,94.20%,8,00:00:26,00:02:27,00:01:52,61.48%,Rep07
125,42,119,95.20%,6,00:00:22,00:02:29,00:03:40,68.00%,Rep02
98,67,96,97.96%,2,00:00:20,00:02:36,00:02:53,77.32%,Rep06
12,393,12,100.00%,0,00:00:18,00:03:07,00:01:36,83.33%,Rep02
119,356,117,98.32%,2,00:00:18,00:02:39,00:02:43,78.15%,Rep08
100,290,96,96.00%,4,00:00:21,00:02:37,00:02:45,76.00%,Rep08
146,204,133,91.10%,13,00:00:31,00:02:30,00:03:40,57.75%,Rep10
131,210,127,96.95%,4,00:00:22,00:02:25,00:02:28,72.66%,Rep07
107,271,104,97.20%,3,00:00:08,00:02:27,00:01:36,92.45%,Rep06
112,265,105,93.75%,7,00:00:24,00:02:38,00:04:28,67.27%,Rep07
21,109,21,100.00%,0,00:00:32,00:02:31,00:01:25,52.38%,Rep01
125,371,104,83.20%,21,00:00:37,00:02:44,00:02:45,44.63%,Rep01
35,222,34,97.14%,1,00:00:24,00:02:12,00:02:16,74.29%,Rep01
121,216,109,90.08%,12,00:00:38,00:02:32,00:05:21,53.78%,Rep05
135,398,122,90.37%,13,00:00:32,00:02:34,00:03:08,57.58%,Rep07
117,137,114,97.44%,3,00:00:22,00:02:38,00:02:27,75.86%,Rep06
114,220,97,85.09%,17,00:00:39,00:02:50,00:08:16,45.13%,Rep04
50,61,49,98.00%,1,00:00:35,00:02:55,00:02:22,52.00%,Rep08
207,308,198,95.65%,9,00:00:16,00:02:43,00:03:51,80.49%,Rep09
189,383,183,96.83%,6,00:00:21,00:02:31,00:03:58,74.19%,Rep09
162,257,156,96.30%,6,00:00:24,00:02:22,00:02:08,66.46%,Rep07
177,85,165,93.22%,12,00:00:26,00:02:31,00:03:50,66.47%,Rep07
177,370,167,94.35%,10,00:00:23,00:02:35,00:02:45,68.97%,Rep01
163,156,134,82.21%,29,00:00:38,00:02:42,00:07:16,47.20%,Rep02
24,132,20,83.33%,4,00:00:26,00:03:23,00:02:16,65.22%,Rep04
146,265,139,95.21%,7,00:00:18,00:02:34,00:06:21,75.86%,Rep03
143,236,141,98.60%,2,00:00:22,00:02:45,00:02:45,72.03%,Rep09
132,322,122,92.42%,10,00:00:31,00:02:28,00:04:36,56.49%,Rep07
137,40,130,94.89%,7,00:00:26,00:02:25,00:02:06,64.44%,Rep04
112,298,104,92.86%,8,00:00:43,00:02:37,00:04:07,40.91%,Rep06
110,102,91,82.73%,19,00:00:50,00:02:38,00:05:12,36.70%,Rep07
24,220,22,91.67%,2,00:00:32,00:02:14,00:04:46,58.33%,Rep07
168,200,154,91.67%,14,00:00:36,00:02:44,00:03:52,49.40%,Rep02
146,389,116,79.45%,30,00:00:42,00:02:28,00:15:00,54.93%,Rep08
100,64,95,95.00%,5,00:00:31,00:02:38,00:02:53,57.00%,Rep01
144,84,131,90.97%,13,00:00:26,00:02:27,00:02:37,63.57%,Rep02
110,139,104,94.55%,6,00:00:24,00:02:26,00:02:22,64.22%,Rep01
126,153,111,88.10%,15,00:00:31,00:02:38,00:04:36,52.80%,Rep01
24,171,24,100.00%,0,00:00:48,00:02:54,00:04:44,41.67%,Rep05
128,191,122,95.31%,6,00:00:35,00:02:59,00:02:42,51.56%,Rep09
185,336,176,95.14%,9,00:00:27,00:02:23,00:05:05,67.93%,Rep05
136,215,114,83.82%,22,00:00:57,00:02:25,00:05:31,28.79%,Rep08
130,347,116,89.23%,14,00:00:44,00:02:41,00:06:00,44.44%,Rep09
103,72,101,98.06%,2,00:00:18,00:02:42,00:02:23,77.45%,Rep01
99,221,89,89.90%,10,00:00:20,00:02:27,00:01:30,73.68%,Rep03
26,368,24,92.31%,2,00:00:23,00:02:00,00:01:53,68.00%,Rep01
95,260,94,98.95%,1,00:00:21,00:02:31,00:03:34,75.53%,Rep05
136,149,131,96.32%,5,00:00:17,00:02:29,00:02:21,81.06%,Rep10
37,243,34,91.89%,3,00:00:41,00:02:11,00:05:46,64.86%,Rep06
105,262,100,95.24%,5,00:00:22,00:02:30,00:02:12,72.28%,Rep03
100,118,92,92.00%,8,00:00:30,00:02:27,00:04:35,63.27%,Rep02
115,282,103,89.57%,12,00:00:44,00:02:46,00:04:35,37.17%,Rep08
38,225,36,94.74%,2,00:00:39,00:02:56,00:02:54,52.63%,Rep06
108,52,95,87.96%,13,00:00:26,00:02:49,00:02:46,63.81%,Rep07
124,118,118,95.16%,6,00:00:23,00:02:31,00:03:01,73.77%,Rep09
97,271,92,94.85%,5,00:00:25,00:02:36,00:02:23,67.71%,Rep09
117,258,108,92.31%,9,00:00:37,00:01:46,00:04:03,48.67%,Rep02
34,341,31,91.18%,3,00:00:27,00:02:37,00:02:32,64.71%,Rep05
53,226,50,94.34%,3,00:00:28,00:02:11,00:03:16,66.04%,Rep02
29,317,23,79.31%,6,00:00:42,00:02:47,00:03:40,32.14%,Rep03
120,365,107,89.17%,13,00:00:34,00:02:39,00:03:21,44.07%,Rep07
107,361,100,93.46%,7,00:00:33,00:02:33,00:02:08,51.43%,Rep08
173,201,159,91.91%,14,00:00:47,00:02:44,00:05:30,39.41%,Rep02
256,345,213,83.20%,43,00:00:44,00:02:45,00:05:18,41.70%,Rep06
199,104,174,87.44%,25,00:00:36,00:02:35,00:04:35,53.06%,Rep06
182,330,170,93.41%,12,00:00:40,00:02:44,00:03:27,45.81%,Rep09
42,68,41,97.62%,1,00:00:42,00:02:53,00:03:40,56.10%,Rep06
181,377,168,92.82%,13,00:00:34,00:02:35,00:02:43,51.69%,Rep01
159,267,147,92.45%,12,00:00:30,00:02:36,00:04:39,58.71%,Rep10
142,88,134,94.37%,8,00:00:26,00:02:50,00:01:50,61.87%,Rep06
194,235,163,84.02%,31,00:00:30,00:02:38,00:05:31,51.04%,Rep10
235,189,210,89.36%,25,00:00:38,00:02:53,00:04:35,48.90%,Rep04
206,321,180,87.38%,26,00:00:51,00:02:47,00:07:03,38.61%,Rep02
58,109,47,81.03%,11,00:00:48,00:02:36,00:04:35,42.11%,Rep04
212,84,194,91.51%,18,00:00:38,00:02:33,00:04:21,51.20%,Rep07
232,252,214,92.24%,18,00:00:34,00:02:36,00:05:30,55.90%,Rep07
348,178,327,93.97%,21,00:00:32,00:02:28,00:07:20,54.62%,Rep01
167,230,156,93.41%,11,00:00:32,00:02:43,00:02:57,56.79%,Rep03
167,52,157,94.01%,10,00:00:27,00:02:57,00:05:19,67.48%,Rep09
166,103,161,96.99%,5,00:00:21,00:02:45,00:01:32,73.33%,Rep01
32,303,28,87.50%,4,00:00:22,00:02:43,00:07:35,64.52%,Rep04
52,139,49,94.23%,3,00:00:32,00:02:58,00:03:02,63.46%,Rep04
154,389,149,96.75%,5,00:00:26,00:02:52,00:01:50,64.90%,Rep07
223,198,218,97.76%,5,00:00:18,00:02:07,00:02:00,80.09%,Rep07
170,322,157,92.35%,13,00:00:17,00:03:04,00:06:25,78.44%,Rep05
145,371,133,91.72%,12,00:00:26,00:02:56,00:03:39,69.23%,Rep02
144,187,138,95.83%,6,00:00:17,00:02:53,00:02:45,83.80%,Rep03
16,383,15,93.75%,1,00:00:17,00:03:00,00:02:45,68.75%,Rep08
135,234,131,97.04%,4,00:00:20,00:02:37,00:02:00,76.12%,Rep09
137,88,133,97.08%,4,00:00:24,00:02:49,00:02:46,69.12%,Rep09
149,134,144,96.64%,5,00:00:17,00:02:39,00:02:02,82.76%,Rep08
155,267,143,92.26%,12,00:00:16,00:02:41,00:06:25,80.14%,Rep03
128,312,121,94.53%,7,00:00:19,00:02:55,00:04:35,77.78%,Rep08
134,143,125,93.28%,9,00:00:21,00:02:38,00:03:18,72.52%,Rep08
21,62,21,100.00%,0,00:00:23,00:02:37,00:02:50,76.19%,Rep07
150,168,138,92.00%,12,00:00:30,00:02:52,00:04:16,58.67%,Rep06
163,306,158,96.93%,5,00:00:14,00:02:28,00:02:01,81.99%,Rep05
160,345,151,94.38%,9,00:00:12,00:02:39,00:02:57,87.18%,Rep03
132,45,125,94.70%,7,00:00:30,00:02:46,00:03:47,64.62%,Rep04
131,346,126,96.18%,5,00:00:17,00:02:47,00:02:35,78.29%,Rep10
158,274,146,92.41%,12,00:00:21,00:02:42,00:03:40,75.32%,Rep01
19,169,16,84.21%,3,00:00:51,00:02:46,00:04:14,47.37%,Rep06
151,228,128,84.77%,23,00:00:52,00:02:30,00:05:38,37.93%,Rep04
139,395,128,92.09%,11,00:00:32,00:02:44,00:03:34,51.80%,Rep01
166,384,135,81.33%,31,00:00:41,00:02:40,00:05:09,46.50%,Rep09
258,376,196,75.97%,62,00:01:10,00:02:30,00:07:51,24.29%,Rep02
203,95,176,86.70%,27,00:00:40,00:02:30,00:09:09,44.78%,Rep06
182,193,162,89.01%,20,00:00:25,00:02:48,00:03:40,59.43%,Rep03
18,110,17,94.44%,1,00:00:55,00:04:01,00:05:46,50.00%,Rep02
215,292,170,79.07%,45,00:00:55,00:02:49,00:07:26,43.06%,Rep06
209,289,203,97.13%,6,00:00:25,00:02:42,00:03:40,74.88%,Rep07
140,82,134,95.71%,6,00:00:20,00:02:59,00:03:21,76.26%,Rep04
124,392,110,88.71%,14,00:00:15,00:02:56,00:08:16,81.82%,Rep05
179,43,163,91.06%,16,00:00:23,00:02:44,00:04:17,71.59%,Rep07
163,126,161,98.77%,2,00:00:10,00:02:40,00:01:51,94.41%,Rep01
27,301,27,100.00%,0,00:00:05,00:02:48,00:00:19,100.00%,Rep05
182,285,175,96.15%,7,00:00:19,00:02:38,00:03:08,79.89%,Rep10
164,126,159,96.95%,5,00:00:11,00:02:23,00:06:28,90.18%,Rep01
160,395,159,99.38%,1,00:00:05,00:02:40,00:00:58,98.74%,Rep05
174,96,155,89.08%,19,00:00:16,00:02:41,00:06:39,77.06%,Rep06
235,172,230,97.87%,5,00:00:05,00:02:27,00:01:50,95.74%,Rep05
175,158,174,99.43%,1,00:00:04,00:02:26,00:01:53,98.86%,Rep09
25,168,25,100.00%,0,00:00:04,00:03:15,00:00:55,96.00%,Rep02
170,236,167,98.24%,3,00:00:06,00:02:35,00:03:40,94.08%,Rep10
187,190,168,89.84%,19,00:00:26,00:02:20,00:04:49,70.43%,Rep07
53,387,51,96.23%,2,00:00:06,00:02:29,00:01:50,88.68%,Rep06
121,159,117,96.69%,4,00:00:13,00:02:36,00:02:41,85.83%,Rep07
143,86,139,97.20%,4,00:00:05,00:02:26,00:01:56,94.41%,Rep04
100,163,96,96.00%,4,00:00:06,00:02:28,00:01:50,91.92%,Rep02
17,275,17,100.00%,0,00:00:08,00:02:55,00:00:59,88.24%,Rep02
113,293,110,97.35%,3,00:00:08,00:02:33,00:01:18,90.18%,Rep03
139,182,128,92.09%,11,00:00:13,00:02:38,00:03:40,82.01%,Rep03
135,241,134,99.26%,1,00:00:04,00:02:34,00:01:50,98.52%,Rep07
29,45,29,100.00%,0,00:00:15,00:03:13,00:01:29,79.31%,Rep04
120,294,116,96.67%,4,00:00:05,00:02:43,00:02:45,95.83%,Rep03
115,170,108,93.91%,7,00:00:09,00:02:50,00:04:25,88.70%,Rep01
14,154,14,100.00%,0,00:00:14,00:02:17,00:01:14,78.57%,Rep02
107,278,104,97.20%,3,00:00:07,00:02:29,00:00:58,90.57%,Rep03
137,335,128,93.43%,9,00:00:10,00:02:30,00:02:03,85.29%,Rep08
106,88,105,99.06%,1,00:00:11,00:02:47,00:01:53,85.85%,Rep01
116,368,108,93.10%,8,00:00:19,00:02:26,00:02:33,84.07%,Rep02
120,70,117,97.50%,3,00:00:09,00:02:37,00:01:05,90.76%,Rep04
123,270,121,98.37%,2,00:00:07,00:02:27,00:01:55,91.06%,Rep02
31,101,31,100.00%,0,00:00:03,00:02:18,00:00:03,100.00%,Rep01
140,280,139,99.29%,1,00:00:08,00:02:39,00:01:11,92.14%,Rep07
168,42,161,95.83%,7,00:00:18,00:02:24,00:02:24,73.65%,Rep08
146,308,144,98.63%,2,00:00:06,00:02:38,00:00:58,94.48%,Rep07
110,257,106,96.36%,4,00:00:15,00:02:50,00:02:30,80.00%,Rep02
342,114,333,97.37%,9,00:00:15,00:02:10,00:02:39,81.42%,Rep02
190,352,183,96.32%,7,00:00:16,00:02:32,00:01:59,78.95%,Rep05
25,393,24,96.00%,1,00:00:06,00:02:22,00:00:48,91.67%,Rep04
169,91,162,95.86%,7,00:00:09,00:02:31,00:04:36,89.16%,Rep01
130,214,129,99.23%,1,00:00:11,00:02:30,00:01:52,86.92%,Rep09
22,337,20,90.91%,2,00:00:09,00:03:15,00:01:50,90.48%,Rep01
5,322,5,100.00%,0,00:00:28,00:02:25,00:01:14,60.00%,Rep06
119,293,115,96.64%,4,00:00:11,00:02:28,00:01:50,86.44%,Rep07
140,284,138,98.57%,2,00:00:09,00:02:17,00:02:11,92.14%,Rep06
22,132,22,100.00%,0,00:00:06,00:02:21,00:00:48,90.91%,Rep02
126,194,124,98.41%,2,00:00:08,00:02:35,00:00:58,94.40%,Rep09
122,120,111,90.98%,11,00:00:13,00:02:43,00:02:13,77.69%,Rep04
113,341,108,95.58%,5,00:00:13,00:02:31,00:01:27,82.88%,Rep07
119,152,109,91.60%,10,00:00:17,00:02:36,00:05:15,83.62%,Rep01
